AS,51,5026,0,0,2,0,5,f,0,x,0,v,x,4,1,0,0,0,"Stuck on edge towards end, idk why"
AD,67,5026,0,0,1,0,4,f,0,x,0,a,a,2,0,1,1,0,
DU,77,5026,0,0,1,0,2,b,0,x,0,n,a,3,1,0,1,0,
AL,5,5027,0,0,0,0,0,x,0,x,0,a,g,2,1,0,0,0,"Shooter broke, immobilized "
Ps,8,5027,1,0,0,0,0,x,0,x,0,x,x,1,1,0,0,0,
Mk,16,5027,0,0,0,0,0,x,0,x,0,a,g,2,0,0,0,0,
EZ,34,5027,0,0,0,0,0,x,0,x,0,x,x,1,1,0,0,0,didnt move at all
mj,28,5027,0,0,0,0,0,x,0,x,0,n,b,1,1,0,0,0,
HS,39,5027,0,0,0,0,0,x,0,x,0,v,e,5,0,0,0,0,ferry bot for the most part
SB,49,5027,0,0,0,0,0,x,0,p,0,v,e,3,0,0,0,0,Only had defense but really good defense 
HS,53,5027,0,0,0,0,0,x,0,x,0,n,b,3,0,0,0,0,ferry/defense bot- didnt do either well
sc,58,5027,0,0,0,0,0,x,0,x,0,n,a,3,0,0,0,0,"nomech, brokey"
SB,64,5027,0,0,0,0,0,x,0,p,0,n,b,5,0,0,0,0,They had really bad defence and no points
SB,49,5027,0,0,0,0,0,x,0,p,0,v,e,3,0,0,0,0,Only had defense but really good defense 
AS,1,5104,0,0,1,0,7,b,2.6,o,0,v,x,4,0,0,0,0,
SB,9,5104,0,0,0,0,4,x,0,p,0,a,x,3,0,0,0,1,They were good
EZ,20,5104,1,0,2,0,1,f,15.7,a,0,a,x,3,0,0,1,0,
AY,28,5104,1,0,1,3,0,f,0,o,0,v,x,4,0,0,0,1,
AD,33,5104,0,0,1,0,5,b,8.2,o,0,a,a,3,0,0,0,1,
mj,33,5104,0,0,1,0,2,b,3,o,0,v,a,4,0,0,0,1,
mj,33,5104,0,0,1,0,2,b,3,o,0,v,a,4,0,0,0,1,
HS,36,5104,1,0,0,0,2,x,0,a,0,n,a,3,0,0,0,0,missed a ton of shots to speaker
AD,33,5104,0,0,1,0,5,b,8.2,o,0,a,a,3,0,0,0,1,
mj,33,5104,0,0,1,0,2,b,3,o,0,v,a,4,0,0,0,1,
SN,44,5104,0,0,1,3,0,f,0,x,0,a,x,3,0,0,1,0,struggles to shoot in amp
Ag,44,5104,0,0,2,2,1,x,0,x,0,n,x,3,0,0,1,0,
Ag,54,5104,1,0,0,0,1,f,0,a,0,a,g,3,0,0,0,0,had trouble with scoring and switched to defence
AS,59,5104,0,0,1,0,3,f,0,o,0,a,x,2,0,0,0,0,
AL,64,5104,0,0,0,0,3,x,0,x,0,a,x,3,0,0,0,0,
TD,71,5104,0,0,0,0,4,f,0,s,0,v,e,5,0,0,0,0,"dropped one note, didn't get correct data for auto"
AD,7,6238,0,0,0,0,5,f,0,x,0,a,x,3,0,0,0,1,pretty fast but accuracy isnt great
EZ,35,6238,1,0,1,0,2,f,0,x,0,a,x,3,1,0,1,0,
TD,40,6238,0,0,0,0,1,f,0,p,0,a,x,2,0,0,1,0,
SB,48,6238,0,0,0,0,1,f,0,p,0,n,a,2,0,0,0,0,Aiming too high on speaker
SB,48,6238,0,0,0,0,1,f,0,p,0,n,a,2,0,0,0,0,Aiming too high on speaker
DU,64,6238,0,0,0,2,0,f,0,p,0,a,a,3,0,0,0,0,
DU,60,6238,0,0,1,0,0,f,0,x,0,n,a,2,0,0,0,0,
SB,74,6238,0,0,0,0,4,f,0,x,0,a,x,1,0,0,0,0,Slow and no auto
HS,3,6348,0,0,0,0,0,s,0,x,0,a,b,1,1,0,0,0,immobilized randomly- missed shots often
mj,13,6348,0,0,0,2,0,s,0,x,0,n,x,3,0,0,0,0,
AD,21,6348,0,0,0,1,0,s,0,p,0,x,a,3,0,0,0,0,
TD,28,6348,0,0,0,1,0,s,0,p,0,a,x,2,0,0,1,0,amp mech is very unreliable 
EZ,33,6348,1,0,1,0,1,s,0,p,0,a,x,3,0,0,1,0,pretty bad with shooting
Mk,39,6348,0,0,1,0,2,s,0,x,0,a,x,2,0,0,1,0,
AL,55,6348,0,0,0,0,0,s,0,x,0,a,g,4,0,0,0,0,This robot focused on passing notes to teams.
EZ,68,6348,1,0,0,2,1,s,0,x,0,a,x,3,0,0,1,0,some amp
TD,11,6884,0,0,0,0,0,f,0,o,0,n,a,2,0,0,0,0,
DU,25,6884,0,0,0,0,0,x,0,x,0,x,x,3,1,0,0,0,Died after auto
AK,38,6884,0,0,0,0,0,x,0,p,0,a,g,3,0,0,0,0,
HS,1,6884,0,0,0,0,0,f,0,a,0,v,g,3,0,0,0,0,Mech didn't work???
